Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
adidas ag|Handel|March 2020|10|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|3|Naja, kÃ¶nnte besser sein
adidas ag|Handel|March 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona1|NA|Gute und regelmÃ¤ÃŸige Kommunikation
adidas ag|Handel|February 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat bei Adidas in Uffenheim gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Chefs versuchten nicht einmal zu verbergen, wen Sie mochten und wen nicht.
adidas ag|Handel|February 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat bei Adidas in Uffenheim gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|3|Umwelt, da kÃ¶nnte man bestimmt noch einiges machen. Sozial, nun ja, die Ã¤lteren Leute wurden nach meiner Meinung mehr gefordert als die jungen Leute
adidas ag|Handel|December 2019|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|NÃ¶, das ist nur ein Papiertiger
adidas ag|Handel|December 2019|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|1|Alles nur fake; von SozialbewuÃŸtsein kann keine Rede sein (siehe Umgang mit Ã„lteren)
adidas ag|Handel|November 2019|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Design / Gestaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wer sich traut um sein Recht zu kÃ¤mpfen, wird systematisch ausgeboten. Als Frau auch nach wie vor schwer und in Teilzeit massiv benachteiligt. Hat man einen Stempel, haftet er ewig an
adidas ag|Handel|November 2019|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Design / Gestaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wer sich traut um sein Recht zu kÃ¤mpfen, wird systematisch ausgeboten. Als Frau auch nach wie vor schwer und in Teilzeit massiv benachteiligt. Hat man einen Stempel, haftet er ewig an
adidas ag|Handel|November 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich PR / Kommunikation bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|2.9|Keine klare Linie und geheime Agendas
adidas ag|Handel|November 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich PR / Kommunikation bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Frauen werden nur als Quote befÃ¶rdert
