Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
adidas ag|Handel|March 2020|10|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|3|Naja, kÃ¶nnte besser sein
adidas ag|Handel|March 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona1|NA|Gute und regelmÃ¤ÃŸige Kommunikation
adidas ag|Handel|February 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat bei Adidas in Uffenheim gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Chefs versuchten nicht einmal zu verbergen, wen Sie mochten und wen nicht.
adidas ag|Handel|February 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat bei Adidas in Uffenheim gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|3|Umwelt, da kÃ¶nnte man bestimmt noch einiges machen. Sozial, nun ja, die Ã¤lteren Leute wurden nach meiner Meinung mehr gefordert als die jungen Leute
adidas ag|Handel|December 2019|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|NÃ¶, das ist nur ein Papiertiger
adidas ag|Handel|December 2019|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|1|Alles nur fake; von SozialbewuÃŸtsein kann keine Rede sein (siehe Umgang mit Ã„lteren)
adidas ag|Handel|November 2019|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Design / Gestaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wer sich traut um sein Recht zu kÃ¤mpfen, wird systematisch ausgeboten. Als Frau auch nach wie vor schwer und in Teilzeit massiv benachteiligt. Hat man einen Stempel, haftet er ewig an
adidas ag|Handel|November 2019|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Design / Gestaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wer sich traut um sein Recht zu kÃ¤mpfen, wird systematisch ausgeboten. Als Frau auch nach wie vor schwer und in Teilzeit massiv benachteiligt. Hat man einen Stempel, haftet er ewig an
adidas ag|Handel|November 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich PR / Kommunikation bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|2.9|Keine klare Linie und geheime Agendas
adidas ag|Handel|November 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich PR / Kommunikation bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Frauen werden nur als Quote befÃ¶rdert
adidas ag|Handel|November 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|1.5|Adi Dassler would cry...how a DAX oriented management ruins the heritage of a highly appreciated founder
adidas ag|Handel|November 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|ArbeitsatmosphÃ¤re|1|Open space offices and meeting overload cause a high level of stress. Sick meeting culture (employees follow up on social media rather than following meeting topic). Unqualified superiors, international background counts more than experience. Management promotes mainly brownnoser. Helplessness- and no one dares to say anything. It will be turned into weaknesses and used to downgrade employees. No professional guidance or onboarding due to high level ( of unstructured) workload. This is caused by constant strategy (!), some senior manager show serious signs of narcissistic behavior. Tendencies of suppression, sectarian structures. Either u live and follow or u are a nobody- it is your fault if u canâ€˜t follow up or behave like the masses. Individuality is only accepted in the dress code- mindset shall be all the same
adidas ag|Handel|November 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Depending on departments.
adidas ag|Handel|November 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Umgang mit Ã¤lteren Kollegen|1|Shameful. No respect for highly experienced employees. Only young and formable counts- those are easy to influence and manipulate. Average age 28 - ??? Says everything. Personal interests and natural developments of people, i.e. grounding a family or supporting sick elderly parents cause big troubles. High rate of deseases caused by stress due to work ( high unreachable company expectations vs. high own expectation levels - the former high potentials back in 2008-) â€”> over average depression and burnout rate. Dark number - internally not to be discussed. Those who have to leave caused by this are the â€ždonâ€™t talk aboutsâ€œ
adidas ag|Handel|November 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Work-Life-Balance|1|If u want u can do home office. But the constant reachability ruins all humble efforts of a life balance.
adidas ag|Handel|October 2019|4|Ex-Praktikant/in|Hat im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|5|In diesem Bereich hoch, viele Frauen in FÃ¼hrungspositionen
adidas ag|Handel|October 2019|4|Ex-Praktikant/in|Hat im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Empfohlen|Umgang mit Ã¤lteren Kollegen|3|keine Beurteilung mÃ¶glich, da leider sehr junges Team
adidas ag|Handel|October 2019|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich PR / Kommunikation bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Umgang mit Ã¤lteren Kollegen|2|Jung ist billiger
adidas ag|Handel|August 2019|9|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Vertrieb / Verkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|3|Kann ich nix dazu sagen
adidas ag|Handel|July 2019|1|Ex-Praktikant/in|Hat im Bereich Design / Gestaltung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|3.9|It has been a very good experience, and pushing boundaries personally and professionally. Learned a lot in so many ways
adidas ag|Handel|July 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich Vertrieb / Verkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|ArbeitsatmosphÃ¤re|1|"Arbeitsflut, immer mehr Abteilungen werden geschlossen mit gleichzeitig derselben Menge an Arbeit.. ""FÃ¼hrungskrÃ¤fte"" haben keine geeignete Ausbildung.. Mobbing an der Tagesordnung.. Jeder kÃ¤mpft nur noch vor sich hin und gegeneinander, Jobs werden intern nur noch Ã¼ber Vitamin B vermittelt.. keine offene Kommunikation"
adidas ag|Handel|July 2019|3|Ex-FÃ¼hrungskraft / Management|Hat im Bereich Vertrieb / Verkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Diversity haha.. Auf dem Papier ganz gross.. gelebt wird es nicht
adidas ag|Handel|July 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|2.6|New Offices
adidas ag|Handel|July 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|2|Siehe Kommunikation, Egoismus pur
adidas ag|Handel|July 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wohl eher nicht....Manager meist mÃ¤nnlich, Frauen mit Kindern haben komplett verloren
adidas ag|Handel|July 2019|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Umgang mit Ã¤lteren Kollegen|1|Das ist das wohl der schlechteste Bereich, junges hipper Unternehmen, Mitarbeiter Ã¼berleben wohl eher selten lÃ¤nger als 15 Jahre, frisch nach dem Studium ohne jegliche Erfahrung dafÃ¼r aber mit einer groÃŸen Portion Selbstbewusstsein ausgestattet
adidas ag|Handel|July 2019|6|Ex-Praktikant/in|Hat im Bereich Design / Gestaltung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|5|100 pro!
adidas ag|Handel|July 2019|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Im Grunde ja aber auch hier besteht ein GefÃ¤lle zwischen mÃ¤nnlich und weiblich
adidas ag|Handel|July 2019|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Im Grunde ja aber auch hier besteht ein GefÃ¤lle zwischen mÃ¤nnlich und weiblich
adidas ag|Handel|June 2019|10|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Nicht zu spÃ¼ren, oberflÃ¤chlich in PR Manier vorhanden, in der RealitÃ¤t nicht gelebt und auch nicht gewÃ¼nscht. Nach wie vor eine reine MÃ¤nnergesellschaft ohne Interesse daran, Frauen gleichermaÃŸen zu behandeln.
adidas ag|Handel|June 2019|10|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Umgang mit Ã¤lteren Kollegen|1|So schnell weg wie mÃ¶glich, zu teuer, zu alt, keine Zielgruppe mehr - man findet tÃ¤glich neue GrÃ¼nde, warum Mitarbeiter Ã¼ber 40 nicht mehr fÃ¼r die Firma tragbar sind, ausgenommen das obere Management.
adidas ag|Handel|June 2019|1|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|1.9|Senior Specialist Paxroll
adidas ag|Handel|May 2019|3|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Logistik / Materialwirtschaft bei adidas GROUP in Rieste / OsnabrÃ¼ck gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wenn man als Frau bestimmte Services bietet, sicherlich...
adidas ag|Handel|May 2019|3|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Logistik / Materialwirtschaft bei adidas GROUP in Rieste / OsnabrÃ¼ck gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wenn man als Frau bestimmte Services bietet, sicherlich...
adidas ag|Handel|May 2019|3|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Logistik / Materialwirtschaft bei adidas GROUP in Rieste / OsnabrÃ¼ck gearbeitet.|Nicht empfohlen|Umgang mit Ã¤lteren Kollegen|5|Kann ich leider nicht wirklich beurteilen, da es insgesamt ein sehr junges Team war.
adidas ag|Handel|May 2019|4|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.1|Ganz schlecht als ich aus der Elternzeit zurÃ¼ck kam hatte ich kein Team mehr, einen neuen manager und einen neuen Job.
adidas ag|Handel|May 2019|4|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|2|MÃ¼tter werden vernachlÃ¤ssigt
adidas ag|Handel|May 2019|6|Ex-Praktikant/in|Hat bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|3.9|It was a great experience I wouldn't like to miss!
adidas ag|Handel|May 2019|7|Ex-Praktikant/in|Hat im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.5|Adidas is a lifestyle you would always want to live again. it was a mind blowing experience
adidas ag|Handel|May 2019|8|Ex-Praktikant/in|Hat im Bereich Design / Gestaltung bei adidas AG in NÃ¼rnberg gearbeitet.|Nicht empfohlen|Overall|3.2|Overall I believe my internship was a positive experience.
adidas ag|Handel|May 2019|9|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|3.8|Good experience but no job opportunities at the end.
adidas ag|Handel|May 2019|2|Ex-Praktikant/in|Hat im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|3.8|Had to learn new thing from the start to be able to cope and six months was not enough. good experience overall
adidas ag|Handel|May 2019|4|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|3.8|Good experience but no job opportunities at the end.
adidas ag|Handel|May 2019|8|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.2|great tasks/company culture/team, supervisor was a difficult leader, learned a lot, great network, would recommend
adidas ag|Handel|May 2019|6|Ex-Praktikant/in|Hat im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.5|Highly challenging internship where I learned more than in all of my 4 internships and working student positions before.
adidas ag|Handel|May 2019|9|Ex-Praktikant/in|Hat im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|3.2|All in all, a very good experience to get to know the company of ADIDAS
adidas ag|Handel|May 2019|5|Ex-Praktikant/in|Hat im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|3.0|It was my first experience in an international company. I learned a lot and I definitely feel more confident to work pro
adidas ag|Handel|May 2019|9|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.4|Adidas is a company like no other. I made great experiences during my internship and learned a lot!
adidas ag|Handel|May 2019|4|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.8|I have had a great experience working in adidas during my internship.
adidas ag|Handel|May 2019|7|Ex-Praktikant/in|Hat im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.2|The intern was a great experience where I had the chance to learn a lot.
adidas ag|Handel|May 2019|8|Ex-Praktikant/in|Hat im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.3|The experience is by far more valuable than any kind of University project. Both in terms of growth and learning.
adidas ag|Handel|May 2019|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|2|Frauen haben meist weniger Gehalt als MÃ¤nner.
adidas ag|Handel|May 2019|8|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Wird zwar ganz groÃŸ geschrieben aber Ã¼berhaupt nicht gelebt (Frau/Mann, Jung/Alt...)
adidas ag|Handel|May 2019|8|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Wird zwar ganz groÃŸ geschrieben aber Ã¼berhaupt nicht gelebt (Frau/Mann, Jung/Alt...)
adidas ag|Handel|May 2019|10|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Vertrieb / Verkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Wer die Ellenbogen ausfÃ¤hrt kommt weiter. Wer Teamwork lebt hat keine Chance mehr.
adidas ag|Handel|May 2019|2|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas (Herzogenaurach / Deutschland) in Berlin gearbeitet.|Nicht empfohlen|Overall|2.1|Das oberste adidas mgmt hat sich fÃ¼r eine Kultur entschieden, die mit Angst u Druck arbeitet, reine Profit Ausrichtung
adidas ag|Handel|May 2019|2|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas (Herzogenaurach / Deutschland) in Berlin gearbeitet.|Nicht empfohlen|ArbeitsatmosphÃ¤re|1|Die Mitarbeiter haben grosse Angst um ihre Jobs, Leistung zÃ¤hlt nicht mehr, nur noch Vitamin B. Neben massiven Umstrukturierungen, Outsourcing in allen Bereichen gehÃ¶ren Downgradings von Job Levels mittlerweile zum Altag, das Gehalt wird dann nach einer gewissen Frist mit nach unten korrigiert. Der Campus wird aufgehÃ¼bscht, was Berufseinsteiger beeindruckt, aber ab Anfang 30 hat man andere AnsprÃ¼che an seinen Arbeitgeber (Sicherheiten, Fairness, LoyalitÃ¤t, ProfessionalitÃ¤t,..) Ã„ltere Mitarbeiter passen nicht zu dem hippen AuÃŸenbild u hier wird dementsprechend dafÃ¼r gesorgt, dass diese kaum noch bei adidas zu sehen sind. Altersdurchschnitt liegt um die 28. Diversity wird auf allen Folien gross geschrieben, leider aber mehr Schein als Sein.
adidas ag|Handel|May 2019|2|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas (Herzogenaurach / Deutschland) in Berlin gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|2|Das war mal eine StÃ¤rke der Firma adidas. Tolle Kollegen, die viel gemeinsam geschafft haben. Doch mit dem Vorstandswechsel hat sich die Kultur verÃ¤ndert u die neuen Mitarbeiter, vor allem Manager, passen besser zum neuen FÃ¼hrungsstil. Die Kollegen Ã¼berleben nur noch mit der Ellbogen MentalitÃ¤t, was natÃ¼rlich zu Unruhen, Missgunst u vor allem Misstrauen fÃ¼hrt.
adidas ag|Handel|May 2019|2|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas (Herzogenaurach / Deutschland) in Berlin gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Diversity steht bei adidas auf jeder Folie. Doch tatsÃ¤chlich verdienen Frauen bei adidas immer noch schlechter als MÃ¤nner, Chancen bekommt man nur durch Beziehungen.
adidas ag|Handel|May 2019|2|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Beschaffung / Einkauf bei adidas (Herzogenaurach / Deutschland) in Berlin gearbeitet.|Nicht empfohlen|Work-Life-Balance|2|Die Menge der Arbeit bleibt gleich, die Performance Kultur fordert aber mehr Leistung, parallel werden Abteilungen ausgelagert u Wissen geht verloren.
adidas ag|Handel|March 2019|6|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Vertrieb / Verkauf bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|"Diskriminierung wird immer stÃ¤rker, besonders was Bezahlung angeht, kein Tarifvertrag, nur ""freiwillige"" 1-2% GehaltserhÃ¶hung"
adidas ag|Handel|March 2019|7|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|1.8|Senior Project Manager
adidas ag|Handel|March 2019|7|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Der versuch ist da, aber nur seitdem es von der Regierung vorgeschrieben wurde.
adidas ag|Handel|March 2019|8|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|5|Good
adidas ag|Handel|March 2019|9|Ex-FÃ¼hrungskraft / Management|Hat im Bereich Design / Gestaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Overall|2.8|A culture of bullying (ger: mobbing) from Senior Management
adidas ag|Handel|March 2019|9|Ex-FÃ¼hrungskraft / Management|Hat im Bereich Design / Gestaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|ArbeitsatmosphÃ¤re|1|People who can not lead were promoted in positions where they are responsible for other people but do not have the quality to do so. Senior management on top of that is mostly old and due to German law not fireable. That results in managers bullying their subordinates until they get sick or quit. The managers stay and repeat this process with. None of my former colleagues is happy to still work there.
adidas ag|Handel|March 2019|9|Ex-FÃ¼hrungskraft / Management|Hat im Bereich Design / Gestaltung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|1|Me first, ellbow mentality. Smiling in your face and talking sh*t about you behind your back. It's purely networking and taking advantage of you and your position.
adidas ag|Handel|March 2019|10|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Personal / Aus- und Weiterbildung bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|3|Kommt auf den Bereich an
adidas ag|Handel|November 2018|5|Ex-Praktikant/in|Hat im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Empfohlen|ArbeitsatmosphÃ¤re|5|Die neuen Container BASE und das Open Office-Konzept sind hervorragend. Obwohl ich lieber die alte mag.
adidas ag|Handel|November 2018|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Logistik / Materialwirtschaft bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|gegenÃ¼ber Ã¤lteren Mitarbeitern sehr schlecht.
adidas ag|Handel|November 2018|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Von Gleichberechtigung und Fairness kann nicht die Rede sein.
adidas ag|Handel|November 2018|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Von Gleichberechtigung und Fairness kann nicht die Rede sein.
adidas ag|Handel|October 2018|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Gleichberechtigung gibt es leider nur dann, wenn man genau so ist wie alle anderen. Ist man das nicht, wird man ausgegrenzt
adidas ag|Handel|October 2018|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Herzogenaurach gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Gleichberechtigung gibt es leider nur dann, wenn man genau so ist wie alle anderen. Ist man das nicht, wird man ausgegrenzt
